model,accessui,charcount,codechars,codepercent,codeblocks
Qwen2.5 Coder 32B,Hugging Face Chat,13950,12350,88.53,5
o1 Preview,LibreChat,13622,11221,82.37,10
Qwen2.5 Coder 32B,OpenWebUI,13159,10822,82.24,7
Qwen 72B,HuggingFaceChat,12921,10840,83.89,7
DeepSeek 2.5,OnlinePlayground,10105,8820,87.28,8
Claude 3.5 Sonnet,LibreChat,10007,8705,86.99,2
Gemini 1.5 Pro,Google AI Studio,7926,6583,83.06,3
LeChat,Mistral,7719,6595,85.44,4
Phind 70B,Site,7678,5474,71.29,6
Llama 3.1 3B,LocalLM,7321,6279,85.77,2
Llama 3.3 70B,Hugging Face Chat,7195,4718,65.57,3
Cohere Command R Plus,Hugging Face Chat,7145,6069,84.94,1
DeepSeek 2.5,Chatbox (Desktop UI),7017,4297,61.24,1
Nova Pro 1.0,Open Router,6954,5911,85.00,1
Qwen 2.5 7B,LM Studio,6773,5253,77.56,5
Nova Pro 1.0,Open Router WebUI,6568,5536,84.29,5
DeepSeek Coder 7B,LM Studio,6372,5246,82.33,2
GPT 3.5 (16K),LibreChat,3972,3129,78.78,1
Codetral Mamba,Python GUI,2091,0,0.00,0